GridType,SeedSpacing,k,nTrain,Superpixels,Time,TP,FP,TN,FN,Accuracy,FPR,FNR,Sensitivity,Specificity
square,10,3,5000,12390,20.19006371498108,123339,135,1083849,21437,0.9824440899768873,0.00012454058362485054,0.14807012211968834,0.8519298778803117,0.9998754594163751
square,10,4,5000,12390,10.114259481430054,123359,132,1083852,21417,0.9824628080341157,0.00012177301509985388,0.1479319776758579,0.8520680223241421,0.9998782269849001
square,10,5,5000,12390,9.866611003875732,123359,132,1083852,21417,0.9824628080341157,0.00012177301509985388,0.1479319776758579,0.8520680223241421,0.9998782269849001
square,20,3,5000,3115,27.016534090042114,123059,183,1083801,21717,0.9821771542042385,0.00016882168002479742,0.1500041443333149,0.8499958556666851,0.9998311783199753
square,20,4,5000,3115,7.849241733551025,123059,183,1083801,21717,0.9821771542042385,0.00016882168002479742,0.1500041443333149,0.8499958556666851,0.9998311783199753
square,20,5,5000,3115,10.388047933578491,123059,183,1083801,21717,0.9821771542042385,0.00016882168002479742,0.1500041443333149,0.8499958556666851,0.9998311783199753
square,30,3,5000,1416,21.38196873664856,121090,49,1083935,23686,0.9806837787688402,4.520361924161242e-05,0.1636044648284246,0.8363955351715754,0.9999547963807583
square,30,4,5000,1416,10.396074295043945,121210,89,1083895,23566,0.980748885054852,8.21045329082348e-05,0.1627755981654418,0.8372244018345583,0.9999178954670918
square,30,5,5000,1416,9.988847970962524,121210,89,1083895,23566,0.980748885054852,8.21045329082348e-05,0.1627755981654418,0.8372244018345583,0.9999178954670918
square,40,3,5000,748,25.278879642486572,121411,0,1083984,23365,0.9809848953416452,0.0,0.16138724650494557,0.8386127534950545,1.0
square,40,4,5000,748,27.534332275390625,121411,0,1083984,23365,0.9809848953416452,0.0,0.16138724650494557,0.8386127534950545,1.0
square,40,5,5000,748,22.393805265426636,121411,0,1083984,23365,0.9809848953416452,0.0,0.16138724650494557,0.8386127534950545,1.0
hex,10,3,5000,18275,25.727717399597168,123155,140,1083844,21621,0.9822902763761842,0.00012915319783317835,0.14934105100292866,0.8506589489970713,0.9998708468021669
hex,10,4,5000,18275,18.32151460647583,123360,176,1083808,21416,0.9824278134053843,0.0001623640201331385,0.14792507045366635,0.8520749295463337,0.9998376359798669
hex,10,5,5000,18275,11.687726736068726,123547,194,1083790,21229,0.9825653504345845,0.00017896943128311858,0.14663341990385148,0.8533665800961485,0.9998210305687169
hex,20,3,5000,4888,26.009381532669067,122259,130,1083854,22517,0.9815692242586022,0.00011992796941652276,0.15552992208653368,0.8444700779134663,0.9998800720305835
hex,20,4,5000,4888,9.480830907821655,122551,156,1083828,22225,0.9817857026595918,0.0001439135632998273,0.15351301320660882,0.8464869867933912,0.9998560864367002
hex,20,5,5000,4888,19.84093189239502,122551,156,1083828,22225,0.9817857026595918,0.0001439135632998273,0.15351301320660882,0.8464869867933912,0.9998560864367002
hex,30,3,5000,2108,31.01499342918396,122144,140,1083844,22632,0.9814674956867085,0.00012915319783317835,0.15632425263855887,0.8436757473614411,0.9998708468021669
hex,30,4,5000,2108,31.954697132110596,121925,73,1083911,22851,0.981343793743286,6.734416744158585e-05,0.1578369342985025,0.8421630657014975,0.9999326558325584
hex,30,5,5000,2108,22.74187421798706,121925,73,1083911,22851,0.981343793743286,6.734416744158585e-05,0.1578369342985025,0.8421630657014975,0.9999326558325584
hex,40,3,5000,1212,27.72320556640625,121940,81,1083903,22836,0.981349490543312,7.472435017491033e-05,0.15773332596562967,0.8422666740343703,0.9999252756498251
hex,40,4,5000,1212,8.85836911201477,121888,36,1083948,22888,0.981343793743286,3.321082229996015e-05,0.15809250151958887,0.8419074984804111,0.9999667891777
hex,40,5,5000,1212,33.203121185302734,121888,36,1083948,22888,0.981343793743286,3.321082229996015e-05,0.15809250151958887,0.8419074984804111,0.9999667891777
